episode,avg_waiting_time,avg_queue_length,throughput,avg_stopped_vehicles
6,44696.32,316.16,2108,126.50
7,44696.32,316.16,2108,126.50
8,44696.32,316.16,2108,126.50
9,44696.32,316.16,2108,126.50
10,44696.32,316.16,2108,126.50
1,687.86,40.90,2940,18.29
2,687.86,40.90,2940,18.29
3,687.86,40.90,2940,18.29
4,687.86,40.90,2940,18.29
5,687.86,40.90,2940,18.29
6,687.86,40.90,2940,18.29
7,687.86,40.90,2940,18.29
8,687.86,40.90,2940,18.29
9,687.86,40.90,2940,18.29
10,687.86,40.90,2940,18.29
1,44696.32,316.16,2108,126.50
1,56984.18,317.17,2108,127.23
1,44696.32,316.16,2108,126.50
1,56984.18,317.17,2108,127.23
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
1,123.45,13.61,11,5.88
1,44696.32,316.16,2108,126.50
2,44696.32,316.16,2108,126.50
3,44696.32,316.16,2108,126.50
1,3.08,1.85,0,0.92
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
2,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
2,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
2,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
1,0.00,0.00,0,0.00
